Time,Output Speed,Weight on bit
50,125.5189216,468.1633369
50.01,133.5730732,449.0862391
50.02,142.1623449,437.6108294
50.03,150.625272,422.2529759
50.04,158.2864054,427.9895332
50.05,164.4946136,432.9816899
50.06,168.6895788,460.8091092
50.07,170.4578942,483.9436398
50.08,169.5965757,520.8781718
50.09,166.1407207,548.5237869
50.1,160.3733722,580.7210767
50.11,152.7933592,600.3943291
50.12,144.07001,617.0285141
50.13,134.9770234,613.1585004
50.14,126.3324015,613.4695093
50.15,118.9194603,603.3502481
50.16,113.411099,585.6373495
50.17,110.2846862,567.3838637
50.18,109.7603871,544.9395687
50.19,111.7984457,528.4274859
50.2,116.1417398,502.8949309
50.21,122.3847443,475.8077711
50.22,130.0190171,459.677655
50.23,138.4571387,440.2003677
50.24,147.0566443,421.863392
50.25,155.1444043,425.5445334
50.26,162.0504842,428.6477227
50.27,167.1694055,453.5561883
50.28,170.0151452,469.0054432
50.29,170.2911934,504.9578733
50.3,167.9265589,534.0447865
50.31,163.101292,575.872741
50.32,156.2242236,594.0210215
50.33,147.9004946,609.7851161
50.34,138.8664758,610.6446248
50.35,129.9306526,615.5938642
50.36,121.8988551,608.6199512
50.37,115.5016074,584.7947225
50.38,111.3126478,576.318325
50.39,109.6633637,554.1772464
50.4,110.6244469,543.1825412
50.41,114.0213363,514.9531537
50.42,119.5076894,491.5090473
50.43,126.612993,466.1845319
50.44,134.7823138,446.6010615
50.45,143.3943666,430.1300749
50.46,151.7855779,434.3564534
50.47,159.2764207,426.5771431
50.48,165.2285336,433.752494
50.49,169.0969381,450.5777945
50.5,170.4985704,500.0220097
50.51,169.2576246,523.7749046
50.52,165.4489267,553.9847489
50.53,159.3873129,582.5517738
50.54,151.5999311,602.8772161
50.55,142.774205,611.7356651
50.56,133.6966822,623.9001322
50.57,125.1806743,612.4049579
50.58,118.0021398,599.450834
50.59,112.8103327,581.1292356
50.6,110.0488318,565.3645609
50.61,109.8985619,541.9251536
50.62,112.2858364,524.8047465
50.63,116.9284832,501.5259935
50.64,123.402552,467.4443013
50.65,131.1898028,457.9855595
50.66,139.6914845,439.5288217
50.67,148.2589687,417.8103753
50.68,156.2182293,423.5350979
50.69,162.9040408,430.1376973
50.7,167.7239477,451.2247125
50.71,170.2165118,477.5693287
50.72,170.1136381,510.2723153
50.73,167.3804504,536.4417402
50.74,162.2310369,564.8155549
50.75,155.1078294,598.6067566
50.76,146.6351994,612.6818093
50.77,137.5644938,608.281641
50.78,128.7100981,619.8675727
50.79,120.8694195,605.9546804
50.8,114.7576747,585.5843984
50.81,110.917039,573.6246915
50.82,109.6424586,551.5561389
50.83,110.9670303,539.569573
50.84,114.6870277,511.2466947
50.85,120.4355222,485.8086396
50.86,127.729263,468.0841974
50.87,136.0010232,447.9715936
50.88,144.6224829,429.4812357
50.89,152.9261803,431.2794397
50.9,160.2349107,425.9118277
50.91,165.9201365,440.8416285
50.92,169.4544429,452.1077964
50.93,170.4836602,499.1322107
50.94,168.8658675,526.9257955
50.95,164.7112234,564.8614107
50.96,158.3659535,586.5550251
50.97,150.3855063,609.2966562
50.98,141.473887,614.0996132
50.99,132.4267973,622.9094579
51,124.0563965,610.7957811
51.01,117.125383,592.4134742
51.02,112.2607486,586.6930682
51.03,109.8666302,562.5085364
51.04,110.0894883,544.4033467
51.05,112.8193411,519.7533461
51.06,117.7524503,497.1037008
51.07,124.4481079,467.5524151
51.08,132.3751786,455.2654179
51.09,140.9269738,436.1037205
51.1,149.4502583,430.5245804
51.11,157.2658982,420.8455054
51.12,163.7193228,432.265952
51.13,168.2308386,451.1867007
51.14,170.3650279,493.0731071
51.15,169.8817735,512.682664
51.16,166.7852392,546.5980859
51.17,161.3214564,569.8992233
51.18,153.9635995,601.7302136
51.19,145.3573426,612.2742806
51.2,136.2683065,620.8002922
51.21,127.5093733,613.5610718
51.22,119.8755513,603.0880071
51.23,114.0601748,583.5236263
51.24,110.5751266,578.2800034
51.25,109.6752032,550.9798039
51.26,111.358423,532.5222516
51.27,115.3942538,507.1631905
51.28,121.394759,477.6976996
51.29,128.8657755,471.804584
51.3,137.226405,443.7309746
51.31,145.8437861,425.3833346
51.32,154.045893,421.8614757
51.33,161.1606074,432.0876497
51.34,166.567274,444.1996697
51.35,169.7609281,460.6334044
51.36,170.4144217,499.2898852
51.37,168.4219849,530.999102
51.38,163.9274474,562.3823081
51.39,157.3119656,602.7501062
51.4,149.1513897,609.005543
51.41,140.1703921,612.4128589
51.42,131.1704875,618.2250216
51.43,122.9615804,607.6988546
51.44,116.2920783,594.0078756
51.45,111.7611444,583.9852809
51.46,109.7383072,560.1171133
51.47,110.3313367,541.8466352
51.48,113.3980175,514.6180126
51.49,118.6125574,492.693396
51.5,125.5189302,468.2465417
51.51,133.5730273,448.6085081
51.52,142.1619667,433.4249401
51.53,150.6256136,426.2553981
51.54,158.2860153,423.1913227
51.55,164.4948337,435.7921445
51.56,168.6885838,447.7826986
51.57,170.4580152,485.5443323
51.58,169.5964103,518.7029194
51.59,166.1411023,553.4443917
51.6,160.3726584,571.83275
51.61,152.7933514,600.3023571
51.62,144.0696476,612.964907
51.63,134.9774469,617.6146957
51.64,126.3321701,611.185343
51.65,118.9190923,599.9246523
51.66,113.4116807,590.8101433
51.67,110.2852955,572.6596265
51.68,109.7608718,549.1175145
51.69,111.7976642,521.571331
51.7,116.1417146,502.6656273
51.71,122.3850192,478.4390806
51.72,130.0194112,463.6769897
51.73,138.4571188,439.9852862
51.74,147.0570441,426.4366999
51.75,155.1432535,411.6682538
51.76,162.0509613,434.6522279
51.77,167.1687963,445.6533549
51.78,170.0155838,474.7914435
51.79,170.2905428,496.3619317
51.8,167.9270939,541.0172989
51.81,163.1006431,567.6566676
51.82,156.2248094,601.1312028
51.83,147.900442,609.1791087
51.84,138.866905,615.2861255
51.85,129.9297965,606.913473
51.86,121.8986555,606.7172579
51.87,115.5023407,591.4302167
51.88,111.3133597,582.5360569
51.89,109.6639283,559.0406041
51.9,110.623705,536.7415011
51.91,114.0209745,511.7171956
51.92,119.5073353,488.1962789
51.93,126.6137306,473.4799392
51.94,134.7821368,444.7407066
51.95,143.3944786,431.38134
51.96,151.7848482,425.7458753
51.97,159.2769536,433.1699031
51.98,165.2288732,438.1097105
51.99,169.0974521,457.3216444
52,170.4975215,486.1461286
52.01,169.2576768,524.4607789
52.02,165.4491312,556.6104443
52.03,159.3879567,590.5222276
52.04,151.5997487,600.7278584
52.05,142.7743948,613.8459657
52.06,133.6961839,618.7052352
52.07,125.1801883,607.6518305
52.08,118.0022147,600.1436683
52.09,112.8107614,584.9222331
52.1,110.0490791,567.5007225
52.11,109.8990329,545.9890689
52.12,112.2846271,514.1522393
52.13,116.9283175,500.0090256
52.14,123.4033895,475.5251461
52.15,131.18916,451.4050376
52.16,139.6916099,440.8935008
52.17,148.2598199,427.6305497
52.18,156.2175916,415.7926708
52.19,162.9043603,434.1791595
52.2,167.7235829,446.4759655
52.21,170.2166216,479.0193818
52.22,170.1140211,515.3274434
52.23,167.3810667,544.4487449
52.24,162.2313634,568.9275061
52.25,155.1073847,593.2459686
52.26,146.6353962,614.9272237
52.27,137.565368,617.6509767
52.28,128.7089478,608.3090286
52.29,120.8693513,605.3090199
52.3,114.7583877,591.9959591
52.31,110.9168221,571.7371628
52.32,109.6428369,554.8137212
52.33,110.9660504,531.0347224
52.34,114.6867965,509.166815
52.35,120.4356896,487.3870441
52.36,127.7290869,466.3283876
52.37,136.0006371,443.8768544
52.38,144.6225811,430.5860521
52.39,152.9250382,417.70081
52.4,160.235788,436.8307387
52.41,165.9200238,439.3909564
52.42,169.4552737,463.0322177
52.43,170.4823316,481.5586754
52.44,168.866301,532.6061659
52.45,164.710835,559.8969959
52.46,158.3661943,589.5180293
52.47,150.385128,604.8727064
52.48,141.4740207,615.5724311
52.49,132.4257403,611.990262
52.5,124.0569422,616.086647
52.51,117.1260325,598.3709848
52.52,112.2604454,584.0230088
52.53,109.8660383,557.4027524
52.54,110.0892013,541.9231387
52.55,112.818677,513.8764737
52.56,117.752429,496.9067452
52.57,124.4489236,475.4861369
52.58,132.3739683,442.7654416
52.59,140.9273202,439.9057115
52.6,149.4499185,426.5759132
52.61,157.265939,421.3430145
52.62,163.71872,424.6043945
52.63,168.2309845,453.0922338
52.64,170.364088,480.6496465
52.65,169.8824589,521.7167208
52.66,166.7852832,547.1659347
52.67,161.3219443,576.0100591
52.68,153.962387,587.2221037
52.69,145.3577708,617.1183239
52.7,136.2680258,617.8197802
52.71,127.50861,605.9623366
52.72,119.8763483,610.5648966
52.73,114.0609071,590.0719454
52.74,110.5740658,569.0722516
52.75,109.6751998,550.9496877
52.76,111.3574517,524.0334862
52.77,115.395018,514.0736585
52.78,121.3954615,484.369911
52.79,128.8647139,461.1243786
52.8,137.2268805,448.8161942
52.81,145.844298,431.1957561
52.82,154.0458497,421.3427686
52.83,161.1604916,430.6381307
52.84,166.567105,442.0134627
52.85,169.7616055,469.5557678
52.86,170.4143882,498.846318
52.87,168.4219811,530.9504733
52.88,163.9275659,563.8911188
52.89,157.3110632,591.7220482
52.9,149.1519697,615.7329634
52.91,140.1708898,617.847216
52.92,131.170082,614.0750403
52.93,122.9622705,614.331916
52.94,116.2923876,596.8243945
52.95,111.7603554,577.0665994
52.96,109.7380785,558.146989
52.97,110.3308933,538.0065846
52.98,113.397804,512.718726
52.99,118.6132795,499.3991392
53,125.5192752,471.6320103
53.01,133.5725487,443.6203677
53.02,142.1623149,437.278483
53.03,150.6253697,423.3978199
53.04,158.2867027,431.6437758
53.05,164.4946804,433.8340073
53.06,168.6893149,457.3548954
53.07,170.4576375,480.5482501
53.08,169.5966368,521.6832713
53.09,166.141162,554.2148269
53.1,160.3734685,581.9211724
53.11,152.7928216,594.0111231
53.12,144.0699972,616.8851458
53.13,134.9772678,615.7297244
53.14,126.3326833,616.2494828
53.15,118.9195054,603.7702985
53.16,113.4112911,587.3455003
53.17,110.2838589,560.221849
53.18,109.7608859,549.2398861
53.19,111.7980041,524.553276
53.2,116.1424161,509.0489715
53.21,122.3853264,481.3791139
53.22,130.0183179,452.5799826
53.23,138.4580616,450.156276
53.24,147.0571714,427.8945205
53.25,155.1440265,420.9885825
53.26,162.049714,418.9554628
53.27,167.1696272,456.4339116
53.28,170.0153425,471.60949
53.29,170.2910487,503.045588
53.3,167.9266991,535.8710817
53.31,163.1007592,569.1261648
53.32,156.2236443,586.9889773
53.33,147.9013363,619.4676213
53.34,138.8670189,616.5186691
53.35,129.9302848,611.8646075
53.36,121.8990787,610.7509928
53.37,115.502579,593.5874069
53.38,111.3126009,575.90905
53.39,109.6636879,556.9689772
53.4,110.623411,534.1876743
53.41,114.021711,518.3006584
53.42,119.507661,491.243489
53.43,126.6131102,467.3440137
53.44,134.782254,445.9721255
53.45,143.3940694,426.8133815
53.46,151.7846852,423.8227573
53.47,159.27649,427.4343096
53.48,165.2290477,440.3465096
53.49,169.0977199,460.8351472
53.5,170.4973908,484.4164648
53.51,169.2567282,512.0029987
53.52,165.4494316,560.4689835
53.53,159.3875063,584.9463951
53.54,151.5998771,602.2416408
53.55,142.7739012,608.3603484
53.56,133.6959251,616.0075821
53.57,125.1806122,611.7973495
53.58,118.0021739,599.7661514
53.59,112.8105919,583.4219283
53.6,110.0483613,561.2993258
53.61,109.8991073,546.6315488
53.62,112.2854629,521.514462
53.63,116.9285508,502.1453982
53.64,123.4034863,476.4602246
53.65,131.1894,453.8618687
53.66,139.6916935,441.8043281
53.67,148.2596614,425.8016159
53.68,156.2183994,425.5990518
53.69,162.903396,421.9807604
53.7,167.7240295,452.2902236
53.71,170.2162746,474.4375107
53.72,170.1137828,512.1817591
53.73,167.3812314,546.5867068
53.74,162.2318551,575.1217375
53.75,155.1074763,594.3501761
53.76,146.6353376,614.2584135
53.77,137.5652101,615.9583158
53.78,128.7094925,613.7809051
53.79,120.8687084,599.2305547
53.8,114.7582745,590.978309
53.81,110.9167388,571.0116277
53.82,109.6434809,560.3582391
53.83,110.9663573,533.7091173
53.84,114.6870221,511.1963598
53.85,120.4355644,486.2060721
53.86,127.7287237,462.7050473
53.87,136.0013168,451.0824625
53.88,144.6223474,427.954333
53.89,152.9255619,423.9284544
53.9,160.2347936,424.4549011
53.91,165.920953,451.3576555
53.92,169.455246,462.6689865
53.93,170.4832811,494.1183041
53.94,168.865331,519.8960009
53.95,164.7111867,564.3923665
53.96,158.3658899,585.7720872
53.97,150.3857938,612.6576321
53.98,141.4737939,613.0737773
53.99,132.4261115,615.8258956
54,124.0565097,611.8929686
54.01,117.1253421,592.0393697
54.02,112.2601304,581.2495279
54.03,109.8662428,559.1669387
