Time,Output Speed,Input Torque,Input Speed,Weight on bit
0,148.157782,0.546254,104.776226,539.866525
0.001,148.870922,0.566799,105.120533,537.944529
0.002,149.556036,0.594301,106.24197,536.005967
0.003,150.212917,0.628518,108.39345,534.037938
0.004,150.841484,0.669332,109.377789,532.056127
0.005,151.441768,0.716275,108.602906,530.031911
0.006,152.028076,0.768941,107.310893,527.987706
0.007,152.599382,0.826564,106.15402,525.90273
0.008,153.140631,0.888568,106.376911,523.779676
0.009,153.652334,0.954068,108.12106,521.590817
0.01,154.135069,1.022343,109.010748,519.351027
0.011,154.603646,1.09253,109.307658,517.041739
0.012,155.057497,1.163758,110.291584,514.661032
0.013,155.467819,1.234918,111.293627,512.211841
0.014,155.836763,1.304642,113.044606,509.67311
0.015,156.180623,1.371649,114.632296,507.055726
0.016,156.486061,1.434623,114.712359,504.356294
0.017,156.755191,1.492587,114.148467,501.573881
0.018,157.004253,1.545175,113.470901,498.720637
0.019,157.219841,1.591938,112.929231,495.789224
0.02,157.389818,1.632242,112.589813,492.783444
0.021,157.531588,1.665654,112.425467,489.717665
0.022,157.661184,1.691846,112.377736,486.596365
0.023,157.779153,1.71053,113.402851,483.426053
0.024,157.886037,1.721717,115.60607,480.228094
0.025,157.968204,1.725508,117.701137,477.007183
0.026,158.013275,1.722097,119.186266,473.773358
0.027,158.038404,1.711771,120.018892,470.545899
0.028,158.059361,1.694947,120.357504,467.342564
0.029,158.062253,1.672085,119.388992,464.178253
0.03,158.034434,1.643744,117.130394,461.069828
0.031,157.992789,1.610579,115.960492,458.033968
0.032,157.952824,1.573391,116.567499,455.089946
0.033,157.900375,1.533028,117.744234,452.248147
0.034,157.822532,1.490336,118.838645,449.514488
0.035,157.721748,1.446202,120.615607,446.896371
0.036,157.614524,1.401568,123.206694,444.398457
0.037,157.515985,1.357373,124.422894,442.020005
0.038,157.397422,1.314526,123.731554,439.749964
0.039,157.232647,1.273902,122.439315,437.586175
0.04,157.04038,1.23638,121.247698,435.523632
